Rk,Player,HR,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Player-additional
42,Jazz Chisholm Jr.,24,2024,26,MIANYY,ALNL,147,621,562,74,144,95,21,4,24,73,40,10,53,152,.256,.324,.436,.760,110,245,6,4,0,2,5,85/D4H,chishja01
43,Colton Cowser,24,2024,24,BAL,AL,153,561,499,77,121,70,24,3,24,69,9,4,52,172,.242,.321,.447,.768,120,223,9,7,0,3,2,*789H/D,cowseco01
44,Paul DeJong,24,2024,30,CHWKCR,AL,139,482,445,54,101,60,17,0,24,56,2,2,23,156,.227,.276,.427,.703,97,190,9,9,0,5,0,65H/D,dejonpa01
45,Riley Greene,24,2024,23,DET,AL,137,584,512,82,134,77,27,6,24,74,4,2,64,156,.262,.348,.479,.827,131,245,2,5,0,2,3,7D8/9H,greenri03
46,Jackson Merrill,24,2024,21,SDP,NL,156,593,554,77,162,101,31,6,24,90,16,3,29,101,.292,.326,.500,.826,127,277,2,1,4,5,1,*8/H,merrija01
47,Jurickson Profar,24,2024,31,SDP,NL,158,668,564,94,158,105,29,0,24,85,10,3,76,101,.280,.380,.459,.839,134,259,14,18,5,5,4,*7/D3,profaju01
48,Bryan Reynolds,24,2024,29,PIT,NL,156,692,622,73,171,115,29,3,24,88,10,2,57,156,.275,.344,.447,.791,120,278,7,10,0,3,3,*7D9,reynobr01
49,Nick Castellanos,23,2024,32,PHI,NL,162,659,606,80,154,97,30,4,23,86,6,2,41,139,.254,.311,.431,.742,104,261,14,10,0,2,2,*9/D,casteni01
50,William Contreras,23,2024,26,MIL,NL,155,679,595,99,167,105,37,2,23,92,9,2,78,139,.281,.365,.466,.831,130,277,19,3,0,3,5,*2D/H,contrwi02
51,Brenton Doyle,23,2024,26,COL,NL,149,603,542,82,141,90,24,4,23,72,30,5,46,153,.260,.317,.446,.764,102,242,13,3,4,8,1,*8/DH,doylebr02
52,Zach Neto,23,2024,23,LAA,AL,155,602,542,70,135,77,34,1,23,77,30,10,39,140,.249,.318,.443,.761,112,240,14,16,4,1,1,*6/H,netoza01
53,Brandon Nimmo,23,2024,31,NYM,NL,151,663,571,88,128,77,25,3,23,90,15,0,77,158,.224,.327,.399,.727,106,228,7,12,0,3,1,*78/DH,nimmobr01
54,Joc Pederson,23,2024,32,ARI,NL,132,449,367,62,101,60,17,1,23,64,7,4,55,105,.275,.393,.515,.908,150,189,5,18,1,3,2,*DH,pederjo01
55,Carlos Santana,23,2024,38,MIN,AL,150,594,521,63,124,75,26,0,23,71,4,0,65,99,.238,.328,.420,.749,109,219,11,6,0,2,3,*3/HD,santaca01
56,Marcus Semien,23,2024,33,TEX,AL,159,718,650,101,154,102,27,2,23,74,8,3,64,105,.237,.308,.391,.699,103,254,9,3,0,1,2,*4,semiema01
57,Kyle Tucker,23,2024,27,HOU,AL,78,339,277,56,80,44,13,0,23,49,11,0,56,54,.289,.408,.585,.993,179,162,5,1,0,2,3,9/DH,tuckeky01
58,Lawrence Butler,22,2024,23,OAK,AL,125,451,412,63,108,60,24,2,22,57,18,0,35,108,.262,.317,.490,.807,131,202,8,0,0,4,0,*9H/8,butlela01
59,Corbin Carroll,22,2024,23,ARI,NL,158,684,589,121,136,78,22,14,22,74,35,8,73,130,.231,.322,.428,.749,106,252,3,10,3,9,0,*89/H,carroco02
60,Freddie Freeman,22,2024,34,LAD,NL,147,638,542,81,153,94,35,2,22,89,9,2,78,100,.282,.378,.476,.854,141,258,13,10,0,8,9,*3,freemfr01
61,Paul Goldschmidt,22,2024,36,STL,NL,154,654,599,70,147,91,33,1,22,65,11,0,47,173,.245,.302,.414,.716,100,248,20,2,0,2,2,*3/DH,goldspa01
62,Luke Raley,22,2024,29,SEA,AL,137,455,404,58,98,55,19,2,22,58,11,2,27,135,.243,.320,.463,.783,128,187,2,20,2,2,0,739H/8D,raleylu01
63,Heliot Ramos,22,2024,24,SFG,NL,121,518,475,54,128,80,23,3,22,72,6,1,37,135,.269,.322,.469,.792,124,223,12,2,0,4,2,*87/9DH,ramoshe02
64,Alec Burleson,21,2024,25,STL,NL,152,595,547,71,147,106,20,0,21,78,9,4,35,76,.269,.314,.420,.735,105,230,8,4,1,6,0,D97H3,burleal01
65,Michael Busch,21,2024,26,CHC,NL,152,567,496,73,123,72,28,2,21,65,2,1,63,162,.248,.335,.440,.775,118,218,9,4,0,4,1,*3H/4D5,buschmi02
66,Jackson Chourio,21,2024,20,MIL,NL,148,573,528,80,145,91,29,4,21,79,22,7,39,121,.275,.327,.464,.791,118,245,7,3,1,2,4,*79/HD,chourja01
67,Oneil Cruz,21,2024,25,PIT,NL,146,599,541,72,140,82,34,3,21,76,22,1,51,181,.259,.324,.449,.773,114,243,8,3,0,4,5,*68H/D,cruzon01
68,Bryan De La Cruz,21,2024,27,MIAPIT,NL,149,622,584,61,136,90,25,0,21,68,5,2,29,170,.233,.271,.384,.654,80,224,10,3,0,5,1,7D9/H,delacbr01
69,Jarren Duran,21,2024,27,BOS,AL,160,735,671,111,191,108,48,14,21,75,34,7,54,160,.285,.342,.492,.834,132,330,6,6,1,3,1,*87,duranja01
70,Ryan Jeffers,21,2024,27,MIN,AL,122,465,412,56,93,50,22,0,21,64,3,0,32,94,.226,.300,.432,.732,103,178,9,14,1,6,0,2DH,jeffery01
71,Brandon Lowe,21,2024,29,TBR,AL,107,425,385,56,94,51,19,3,21,58,5,1,33,112,.244,.311,.473,.783,121,182,7,5,0,2,2,4D3H,lowebr01
72,Christopher Morel,21,2024,25,CHCTBR,ALNL,152,611,535,56,105,70,11,3,21,60,8,7,61,159,.196,.288,.346,.634,80,185,15,10,0,5,3,5D47/H,morelch01
73,Jorge Soler,21,2024,32,ATLSFG,NL,142,574,493,84,119,63,34,1,21,64,1,0,68,141,.241,.338,.442,.780,120,218,9,6,0,4,0,D9/H7,solerjo01
74,Seiya Suzuki,21,2024,29,CHC,NL,132,585,512,74,145,91,27,6,21,73,16,6,63,160,.283,.366,.482,.848,138,247,6,6,0,4,3,9D/7H,suzukse01
75,Fernando Tatis Jr.,21,2024,25,SDP,NL,102,438,398,64,110,67,21,1,21,49,11,3,32,96,.276,.340,.492,.833,130,196,8,7,0,1,0,9/DH,tatisfe02
76,Trea Turner,21,2024,31,PHI,NL,121,539,505,88,149,103,25,0,21,62,19,4,27,98,.295,.338,.469,.807,121,237,10,6,0,1,0,*6/D,turnetr01
77,CJ Abrams,20,2024,23,WSN,NL,138,602,541,79,133,78,29,6,20,65,31,12,40,128,.246,.314,.433,.747,109,234,4,16,1,4,3,*6/H,abramcj01
78,Jo Adell,20,2024,25,LAA,AL,130,451,405,54,84,47,15,2,20,62,15,10,35,126,.207,.280,.402,.682,90,163,9,7,0,3,1,*9H/D8,adelljo01
79,Jose Altuve,20,2024,34,HOU,AL,153,682,628,94,185,134,31,0,20,65,22,7,47,119,.295,.350,.439,.790,124,276,15,7,0,0,2,*4/DH,altuvjo01
80,Randy Arozarena,20,2024,29,SEATBR,AL,154,648,549,77,120,67,33,0,20,60,20,10,73,169,.219,.332,.388,.720,109,213,7,22,0,4,0,*7/8DH,arozara01
81,Andrew Benintendi,20,2024,29,CHW,AL,135,522,477,50,109,69,20,0,20,64,3,2,41,96,.229,.289,.396,.685,94,189,12,1,0,3,1,*7H/D8,beninan01
82,JJ Bleday,20,2024,26,OAK,AL,159,642,572,74,139,72,43,4,20,60,2,3,67,125,.243,.324,.437,.762,120,250,8,2,1,0,2,*8H/D,bledajj01
83,Jeimer Candelario,20,2024,30,CIN,NL,112,463,427,47,96,51,23,2,20,56,4,3,27,114,.225,.279,.429,.707,90,183,7,6,0,3,1,53D/H,candeje01
84,Michael Conforto,20,2024,31,SFG,NL,130,488,438,56,104,54,27,3,20,66,0,1,42,118,.237,.309,.450,.759,115,197,16,5,0,3,1,7DH,confomi01
85,Andrew McCutchen,20,2024,37,PIT,NL,120,515,448,66,104,65,18,1,20,50,3,2,58,133,.232,.328,.411,.739,106,184,9,7,0,2,1,*D/9H,mccutan01
86,Ryan McMahon,20,2024,29,COL,NL,153,645,567,68,137,89,28,0,20,65,4,6,69,185,.242,.325,.397,.722,93,225,9,3,0,4,4,*5/DH,mcmahry01
87,Logan O'Hoppe,20,2024,24,LAA,AL,136,522,479,64,117,79,17,1,20,56,2,3,33,155,.244,.303,.409,.712,99,196,7,8,1,1,0,*2/HD,ohopplo01
88,Julio Rodríguez,20,2024,23,SEA,AL,143,613,567,76,155,118,17,0,20,68,24,5,38,156,.273,.325,.409,.734,115,232,10,6,0,2,1,*8D/H,rodriju01
89,Will Smith,20,2024,29,LAD,NL,128,544,476,77,118,72,24,2,20,75,1,1,51,105,.248,.327,.433,.760,114,206,8,9,0,8,6,*2/HD,smithwi05
90,Spencer Steer,20,2024,26,CIN,NL,158,656,574,74,129,71,34,4,20,92,25,3,72,137,.225,.319,.402,.721,96,231,5,8,0,2,1,73/4D9H6,steersp01
91,Josh Bell,19,2024,31,ARIMIA,NL,145,603,538,62,134,90,23,2,19,71,0,1,51,120,.249,.319,.405,.725,100,218,22,6,0,3,1,3D/H,belljo02
92,Mookie Betts,19,2024,31,LAD,NL,116,516,450,75,130,82,24,5,19,75,16,2,61,57,.289,.372,.491,.863,143,221,10,1,0,4,2,694/H,bettsmo01
93,Nolan Gorman,19,2024,24,STL,NL,107,402,365,42,74,40,15,0,19,50,6,1,34,151,.203,.271,.400,.671,87,146,2,1,0,2,1,4/H5,gormano01
94,Isaac Paredes,19,2024,25,CHCTBR,ALNL,153,641,542,64,129,84,25,1,19,80,1,1,76,105,.238,.346,.393,.739,112,213,17,17,0,6,2,*53D/H,paredis01
95,Vinnie Pasquantino,19,2024,26,KCR,AL,131,554,496,64,130,79,30,2,19,97,1,0,40,71,.262,.315,.446,.760,114,221,12,4,1,13,1,3D/H,pasquvi01
96,Austin Riley,19,2024,27,ATL,NL,110,469,425,63,109,62,26,2,19,56,0,0,37,118,.256,.322,.461,.783,115,196,6,5,0,2,0,*5,rileyau01
97,Adley Rutschman,19,2024,26,BAL,AL,148,638,571,68,143,102,21,1,19,79,1,0,58,103,.250,.318,.391,.709,105,223,9,2,0,7,3,2D/H,rutscad01
98,George Springer,19,2024,34,TOR,AL,145,614,545,74,120,79,19,3,19,56,16,1,60,115,.220,.303,.371,.674,91,202,16,6,0,2,0,*9D/H8,springe01
99,Tyler Stephenson,19,2024,27,CIN,NL,138,515,457,69,118,72,26,1,19,66,1,0,48,117,.258,.338,.444,.782,112,203,9,8,0,2,2,*2HD,stephty01
100,Andrew Vaughn,19,2024,26,CHW,AL,149,619,570,55,140,90,30,1,19,70,2,0,38,132,.246,.297,.402,.699,98,229,13,6,0,5,0,*3D/H,vaughan01
101,Cody Bellinger,18,2024,28,CHC,NL,130,569,516,72,137,93,23,3,18,78,9,2,45,89,.266,.325,.426,.751,111,220,10,3,0,5,7,98D3/7,bellico01
102,Byron Buxton,18,2024,30,MIN,AL,102,388,355,62,99,51,27,3,18,56,7,2,20,99,.279,.335,.524,.859,137,186,3,11,0,2,1,8/HD,buxtoby01
103,Kerry Carpenter,18,2024,26,DET,AL,87,296,264,37,75,36,16,5,18,57,0,2,22,75,.284,.345,.587,.932,157,155,5,4,0,3,1,9DH/7,carpeke01
104,Luis García Jr.,18,2024,24,WSN,NL,140,528,500,58,141,97,25,1,18,70,22,5,27,86,.282,.318,.444,.762,114,222,12,0,0,1,2,*4H/D,garcilu04
105,Lourdes Gurriel Jr.,18,2024,30,ARI,NL,133,553,513,72,143,101,22,2,18,75,7,1,29,101,.279,.322,.435,.757,108,223,16,6,0,5,1,*7H/D3,gurrilo01
106,Cedric Mullins,18,2024,29,BAL,AL,147,499,444,69,104,67,16,3,18,54,32,6,41,98,.234,.305,.405,.710,104,180,1,5,2,2,0,*8H/D,mullice01
107,Jesús Sánchez,18,2024,26,MIA,NL,149,537,489,60,123,79,25,1,18,64,16,2,41,140,.252,.313,.417,.731,101,204,12,4,1,2,2,*9HD7,sanchje02
108,Jose Siri,18,2024,28,TBR,AL,130,448,402,50,75,40,16,1,18,47,14,7,31,170,.187,.255,.366,.620,76,147,5,7,2,4,0,*8/H3D,sirijo01
109,Daulton Varsho,18,2024,27,TOR,AL,136,513,459,73,98,52,21,7,18,58,10,2,48,137,.214,.293,.407,.700,96,187,2,4,1,1,1,*87/H9D,varshda01
110,Jordan Westburg,18,2024,25,BAL,AL,107,447,416,57,110,61,26,5,18,63,6,3,22,97,.264,.312,.481,.792,126,200,5,7,1,1,0,54/6D,westbjo01
111,Mike Yastrzemski,18,2024,33,SFG,NL,140,474,428,60,99,56,16,9,18,57,3,2,38,124,.231,.302,.437,.739,110,187,5,6,1,1,1,*9H/81,yastrmi01
112,Orlando Arcia,17,2024,29,ATL,NL,157,602,551,50,120,79,24,0,17,46,2,0,41,128,.218,.271,.354,.625,73,195,16,2,1,7,1,*6,arciaor01
113,Jake Cronenworth,17,2024,30,SDP,NL,155,656,577,72,139,90,29,3,17,83,5,2,61,118,.241,.324,.390,.714,99,225,19,11,1,3,0,34/DH,croneja01
114,Zack Gelof,17,2024,24,OAK,AL,138,547,497,60,105,66,20,2,17,49,25,3,38,188,.211,.270,.362,.632,82,180,7,4,3,5,0,*4/H,gelofza01
115,Kyle Higashioka,17,2024,34,SDP,NL,84,263,246,29,54,26,10,1,17,45,2,0,15,74,.220,.263,.476,.739,101,117,3,0,1,1,0,2/H,higasky01
116,MJ Melendez,17,2024,25,KCR,AL,135,451,412,44,85,42,23,3,17,44,4,4,35,113,.206,.273,.400,.674,89,165,3,3,0,0,1,*7H/D93,melenmj01
117,Nolan Arenado,16,2024,33,STL,NL,152,635,578,70,157,118,23,0,16,71,2,2,44,92,.272,.325,.394,.719,102,228,15,5,0,7,2,*5/DH,arenano01
118,Yainer Diaz,16,2024,25,HOU,AL,148,619,585,70,175,127,29,3,16,84,2,0,24,107,.299,.325,.441,.766,116,258,22,2,0,8,1,2D3/H,diazya02
119,Michael Harris II,16,2024,23,ATL,NL,110,470,440,58,116,83,14,3,16,48,10,6,23,94,.264,.304,.418,.722,99,184,6,4,0,3,1,*8,harrimi04
120,Wyatt Langford,16,2024,22,TEX,AL,134,557,499,74,126,81,25,4,16,74,19,3,51,115,.253,.325,.415,.740,115,207,6,4,0,3,3,*7D8,langfwy01
121,Royce Lewis,16,2024,25,MIN,AL,82,325,292,40,68,36,16,0,16,47,0,0,28,74,.233,.295,.452,.747,107,132,5,0,0,5,2,5D/H4,lewisro02
122,Nathaniel Lowe,16,2024,28,TEX,AL,140,565,486,62,129,96,16,1,16,69,2,0,71,125,.265,.361,.401,.762,123,195,9,4,0,4,1,*3/HD,lowena01
123,Brandon Marsh,16,2024,26,PHI,NL,135,476,418,55,104,68,17,3,16,60,19,3,50,154,.249,.328,.419,.747,106,175,2,2,1,5,0,*78H/9,marshbr02
124,J.D. Martinez,16,2024,36,NYM,NL,120,495,434,46,102,61,24,1,16,69,0,0,49,141,.235,.320,.406,.725,105,176,17,6,0,2,0,*D/H,martijd02
125,Jorge Polanco,16,2024,30,SEA,AL,118,469,417,43,89,62,11,0,16,45,4,2,46,137,.213,.296,.355,.651,92,148,16,4,0,2,3,*4/DH,polanjo01
126,Dansby Swanson,16,2024,30,CHC,NL,149,593,534,82,129,84,27,2,16,66,19,3,54,144,.242,.312,.390,.701,98,208,7,2,0,3,2,*6/H,swansda01
127,Matt Vierling,16,2024,27,DET,AL,144,567,518,80,133,84,28,5,16,57,6,1,41,121,.257,.312,.423,.735,106,219,9,3,0,5,1,859H7/D3,vierlma01
128,Wilyer Abreu,15,2024,25,BOS,AL,132,447,399,59,101,51,33,2,15,58,8,3,40,125,.253,.322,.459,.781,118,183,7,3,0,5,0,*9H/78D,abreuwi02
129,Alec Bohm,15,2024,27,PHI,NL,143,606,554,62,155,94,44,2,15,97,5,2,40,86,.280,.332,.448,.779,114,248,18,6,0,6,2,*53/DH,bohmal01
130,Willson Contreras,15,2024,32,STL,NL,84,358,301,48,79,47,17,0,15,36,4,1,45,96,.262,.380,.468,.848,138,141,7,12,0,0,2,2D/H,contrwi01
131,Travis d'Arnaud,15,2024,35,ATL,NL,99,341,307,40,73,42,16,0,15,48,1,0,24,89,.238,.302,.436,.739,103,134,8,6,0,4,0,2H,darnatr01
132,Tyler Fitzgerald,15,2024,26,SFG,NL,96,341,314,53,88,52,19,2,15,34,17,4,22,108,.280,.334,.497,.831,135,156,2,4,0,1,0,6H/8471D3,fitzgty01
133,Mitch Garver,15,2024,33,SEA,AL,114,430,367,37,63,31,17,0,15,51,0,0,53,133,.172,.286,.341,.627,85,125,9,7,0,3,0,D2/H,garvemi01
134,Jonathan India,15,2024,27,CIN,NL,151,637,533,84,132,87,28,2,15,58,13,2,80,125,.248,.357,.392,.750,105,209,16,15,2,7,0,*4D/H,indiajo01
135,Jarred Kelenic,15,2024,24,ATL,NL,131,449,412,49,95,60,18,2,15,45,7,2,32,133,.231,.286,.393,.679,87,162,5,1,1,3,1,*78H/9,kelenja01
136,Trevor Larnach,15,2024,27,MIN,AL,112,400,355,59,92,60,17,0,15,52,4,1,40,89,.259,.338,.434,.771,116,154,12,3,0,2,1,7D9H,larnatr01
137,Max Muncy,15,2024,33,LAD,NL,73,293,237,47,55,23,17,0,15,48,1,0,45,77,.232,.358,.494,.852,139,117,1,5,0,6,3,5/H,muncyma01
138,Ryan O'Hearn,15,2024,30,BAL,AL,142,494,443,60,117,78,21,3,15,59,3,1,46,69,.264,.334,.427,.761,119,189,7,2,0,3,2,3DH9/7,ohearry01
139,Jeremy Peña,15,2024,26,HOU,AL,157,650,602,78,160,115,28,2,15,70,20,6,25,111,.266,.308,.394,.701,99,237,15,14,3,6,1,*6,penaje02
140,Ceddanne Rafaela,15,2024,23,BOS,AL,152,571,544,70,134,91,23,5,15,75,19,10,15,151,.246,.274,.390,.664,85,212,8,7,2,3,1,864/5H9,rafaece01
141,Hunter Renfroe,15,2024,32,KCR,AL,120,424,385,44,88,55,18,0,15,52,1,1,36,84,.229,.297,.392,.689,95,151,10,2,0,1,0,*9/HD3,renfrhu01
142,Lane Thomas,15,2024,28,CLEWSN,ALNL,130,528,472,65,112,68,26,3,15,63,32,14,44,137,.237,.309,.400,.709,100,189,5,7,0,5,1,*98/HD,thomala02
143,Gleyber Torres,15,2024,27,NYY,AL,154,665,587,80,151,110,26,0,15,63,4,3,65,136,.257,.330,.378,.709,102,222,6,3,2,8,0,*4/H,torregl01
144,Masyn Winn,15,2024,22,STL,NL,150,637,587,85,157,105,32,5,15,57,11,5,41,109,.267,.314,.416,.730,104,244,1,1,3,5,1,*6/HD,winnma01
145,Will Benson,14,2024,26,CIN,NL,128,388,343,41,64,29,19,2,14,43,16,7,40,154,.187,.274,.376,.650,76,129,3,2,1,2,0,*798H/D,bensowi01
146,Seth Brown,14,2024,31,OAK,AL,124,400,372,32,86,60,11,1,14,44,4,2,25,112,.231,.283,.379,.662,91,141,7,2,0,1,0,739H/D8,brownse01
147,Carlos Correa,14,2024,29,MIN,AL,86,367,319,55,99,63,20,2,14,54,0,0,40,61,.310,.388,.517,.905,152,165,5,3,0,4,4,6/DH,correca01
148,Yandy Díaz,14,2024,32,TBR,AL,145,621,563,55,158,112,31,1,14,65,0,0,50,95,.281,.341,.414,.755,116,233,12,4,0,4,0,*3D/H,diazya01
149,Brendan Donovan,14,2024,27,STL,NL,153,652,587,65,163,112,34,3,14,73,5,5,47,81,.278,.342,.417,.759,114,245,4,13,0,5,0,74/5DH9,donovbr01
150,David Fry,14,2024,28,CLE,AL,122,392,335,44,88,55,18,1,14,51,4,1,42,84,.263,.356,.448,.804,128,150,13,9,0,4,4,DH237/59,fryda01
151,Steven Kwan,14,2024,26,CLE,AL,122,540,480,83,140,107,16,3,14,44,12,5,53,51,.292,.368,.425,.793,126,204,5,5,2,0,0,*7/DH,kwanst01
152,Michael Massey,14,2024,26,KCR,AL,100,356,332,45,86,53,17,2,14,45,1,0,15,56,.259,.294,.449,.743,108,149,9,3,2,4,1,4HD,massemi02
